0,155,280,53,145,252,171,189,4,15,171,9,89,282,217,190,65,51,267,62,215,224,211,119,113,109,21,97,69,50
155,0,129,119,28,113,29,55,159,146,65,164,227,134,68,71,183,110,116,109,61,77,56,36,75,252,134,60,223,204
280,129,0,236,150,46,128,94,284,269,120,289,355,15,63,101,312,231,13,225,69,56,85,164,176,381,259,183,349,327
53,119,236,0,119,204,141,142,56,39,121,60,143,237,174,141,113,16,223,11,176,180,175,87,62,162,38,60,119,92
145,28,150,119,0,138,25,83,150,139,91,155,209,157,92,99,164,106,138,109,81,101,69,32,88,235,125,60,211,195
252,113,46,204,138,0,122,64,256,240,83,261,333,38,48,63,291,201,39,193,67,38,88,144,142,357,231,157,321,296
171,29,128,141,25,122,0,76,175,164,91,180,234,136,74,93,189,130,116,131,60,84,45,54,103,260,150,82,236,220
189,55,94,142,83,64,76,0,193,177,29,198,269,94,36,19,228,138,82,131,49,39,65,82,82,293,168,93,258,234
4,159,284,56,150,256,175,193,0,17,175,5,87,286,221,194,64,55,271,66,220,228,215,124,117,106,25,101,65,46
15,146,269,39,139,240,164,177,17,0,158,22,104,271,206,178,79,39,256,48,206,213,203,111,100,123,16,87,81,58
171,65,120,121,91,83,91,29,175,158,0,179,255,118,65,20,216,120,108,111,78,66,91,79,59,278,151,81,240,214
9,164,289,60,155,261,180,198,5,22,179,0,84,291,226,199,64,60,276,70,225,233,220,129,121,102,30,106,60,41
89,227,355,143,209,333,234,269,87,104,255,84,0,360,293,274,45,138,343,151,287,301,278,191,200,26,106,176,48,77
282,134,15,237,157,38,136,94,286,271,118,291,360,0,67,98,317,232,21,225,77,59,94,169,176,385,261,186,351,328
217,68,63,174,92,48,74,36,221,206,65,226,293,67,0,50,250,168,50,163,21,10,42,102,115,318,196,120,286,264
190,71,101,141,99,63,93,19,194,178,20,199,274,98,50,0,234,139,89,130,67,50,83,92,79,297,170,98,259,234
65,183,312,113,164,291,189,228,64,79,216,64,45,317,250,234,0,105,299,119,243,259,233,148,164,72,75,136,68,80
51,110,231,16,106,201,130,138,55,39,120,60,138,232,168,139,105,0,218,15,168,174,166,76,62,160,32,50,120,96
267,116,13,223,138,39,116,82,271,256,108,276,343,21,50,89,299,218,0,212,57,44,73,151,163,368,246,170,336,314
62,109,225,11,109,193,131,131,66,48,111,70,151,225,163,130,119,15,212,0,165,168,165,77,52,171,45,49,130,103
215,61,69,176,81,67,60,49,220,206,78,225,287,77,21,67,243,168,57,165,0,30,22,97,121,313,194,119,284,264
224,77,56,180,101,38,84,39,228,213,66,233,301,59,10,50,259,174,44,168,30,0,51,110,120,326,203,127,293,270
211,56,85,175,69,88,45,65,215,203,91,220,278,94,42,83,233,166,73,165,22,51,0,91,126,304,190,116,278,260
119,36,164,87,32,144,54,82,124,111,79,129,191,169,102,92,148,76,151,77,97,110,91,0,59,216,98,28,187,169
113,75,176,62,88,142,103,82,117,100,59,121,200,176,115,79,164,62,163,52,121,120,126,59,0,222,94,40,181,155
109,252,381,162,235,357,260,293,106,123,278,102,26,385,318,297,72,160,368,171,313,326,304,216,222,0,128,200,52,85
21,134,259,38,125,231,150,168,25,16,151,30,106,261,196,170,75,32,246,45,194,203,190,98,94,128,0,76,90,70
97,60,183,60,60,157,82,93,101,87,81,106,176,186,120,98,136,50,170,49,119,127,116,28,40,200,76,0,166,145
69,223,349,119,211,321,236,258,65,81,240,60,48,351,286,259,68,120,336,130,284,293,278,187,181,52,90,166,0,33
50,204,327,92,195,296,220,234,46,58,214,41,77,328,264,234,80,96,314,103,264,270,260,169,155,85,70,145,33,0
