n = 10;
D = [
  [0.0, 279.0, 248.0, 345.0, 251.0, 148.0, 74.0, 278.0, 296.0, 305.0],
  [279.0, 0.0, 61.0, 107.0, 30.0, 131.0, 246.0, 15.0, 24.0, 51.0],
  [248.0, 61.0, 0.0, 100.0, 41.0, 107.0, 202.0, 49.0, 61.0, 59.0],
  [345.0, 107.0, 100.0, 0.0, 117.0, 207.0, 293.0, 95.0, 84.0, 57.0],
  [251.0, 30.0, 41.0, 117.0, 0.0, 103.0, 216.0, 27.0, 46.0, 63.0],
  [148.0, 131.0, 107.0, 207.0, 103.0, 0.0, 124.0, 130.0, 148.0, 161.0],
  [74.0, 246.0, 202.0, 293.0, 216.0, 124.0, 0.0, 241.0, 258.0, 262.0],
  [278.0, 15.0, 49.0, 95.0, 27.0, 130.0, 241.0, 0.0, 18.0, 39.0],
  [296.0, 24.0, 61.0, 84.0, 46.0, 148.0, 258.0, 18.0, 0.0, 28.0],
  [305.0, 51.0, 59.0, 57.0, 63.0, 161.0, 262.0, 39.0, 28.0, 0.0],
];
