n = 15;
D = [
  [0.0, 291.0, 46.0, 90.0, 149.0, 241.0, 74.0, 220.0, 78.0, 238.0, 210.0, 144.0, 154.0, 56.0, 251.0],
  [291.0, 0.0, 244.0, 371.0, 145.0, 52.0, 361.0, 71.0, 215.0, 90.0, 124.0, 179.0, 137.0, 291.0, 42.0],
  [46.0, 244.0, 0.0, 132.0, 103.0, 194.0, 119.0, 174.0, 34.0, 194.0, 168.0, 106.0, 108.0, 70.0, 205.0],
  [90.0, 371.0, 132.0, 0.0, 234.0, 319.0, 23.0, 301.0, 166.0, 306.0, 273.0, 204.0, 237.0, 83.0, 333.0],
  [149.0, 145.0, 103.0, 234.0, 0.0, 98.0, 222.0, 74.0, 71.0, 119.0, 110.0, 93.0, 15.0, 161.0, 104.0],
  [241.0, 52.0, 194.0, 319.0, 98.0, 0.0, 310.0, 25.0, 166.0, 56.0, 82.0, 129.0, 88.0, 239.0, 25.0],
  [74.0, 361.0, 119.0, 23.0, 222.0, 310.0, 0.0, 291.0, 152.0, 301.0, 269.0, 200.0, 226.0, 81.0, 323.0],
  [220.0, 71.0, 174.0, 301.0, 74.0, 25.0, 291.0, 0.0, 144.0, 70.0, 86.0, 120.0, 66.0, 222.0, 32.0],
  [78.0, 215.0, 34.0, 166.0, 71.0, 166.0, 152.0, 144.0, 0.0, 173.0, 151.0, 99.0, 78.0, 101.0, 175.0],
  [238.0, 90.0, 194.0, 306.0, 119.0, 56.0, 301.0, 70.0, 173.0, 0.0, 37.0, 103.0, 104.0, 224.0, 81.0],
  [210.0, 124.0, 168.0, 273.0, 110.0, 82.0, 269.0, 86.0, 151.0, 37.0, 0.0, 69.0, 94.0, 190.0, 107.0],
  [144.0, 179.0, 106.0, 204.0, 93.0, 129.0, 200.0, 120.0, 99.0, 103.0, 69.0, 0.0, 81.0, 121.0, 150.0],
  [154.0, 137.0, 108.0, 237.0, 15.0, 88.0, 226.0, 66.0, 78.0, 104.0, 94.0, 81.0, 0.0, 161.0, 97.0],
  [56.0, 291.0, 70.0, 83.0, 161.0, 239.0, 81.0, 222.0, 101.0, 224.0, 190.0, 121.0, 161.0, 0.0, 255.0],
  [251.0, 42.0, 205.0, 333.0, 104.0, 25.0, 323.0, 32.0, 175.0, 81.0, 107.0, 150.0, 97.0, 255.0, 0.0],
];
