0,291,46,90,149,241,74,220,78,238,210,144,154,56,251
291,0,244,371,145,52,361,71,215,90,124,179,137,291,42
46,244,0,132,103,194,119,174,34,194,168,106,108,70,205
90,371,132,0,234,319,23,301,166,306,273,204,237,83,333
149,145,103,234,0,98,222,74,71,119,110,93,15,161,104
241,52,194,319,98,0,310,25,166,56,82,129,88,239,25
74,361,119,23,222,310,0,291,152,301,269,200,226,81,323
220,71,174,301,74,25,291,0,144,70,86,120,66,222,32
78,215,34,166,71,166,152,144,0,173,151,99,78,101,175
238,90,194,306,119,56,301,70,173,0,37,103,104,224,81
210,124,168,273,110,82,269,86,151,37,0,69,94,190,107
144,179,106,204,93,129,200,120,99,103,69,0,81,121,150
154,137,108,237,15,88,226,66,78,104,94,81,0,161,97
56,291,70,83,161,239,81,222,101,224,190,121,161,0,255
251,42,205,333,104,25,323,32,175,81,107,150,97,255,0
