n = 35;
D = [
  [0.0, 218.0, 56.0, 318.0, 277.0, 63.0, 85.0, 57.0, 34.0, 304.0, 93.0, 37.0, 300.0, 197.0, 48.0, 271.0, 186.0, 327.0, 89.0, 78.0, 20.0, 319.0, 64.0, 62.0, 175.0, 292.0, 30.0, 57.0, 251.0, 256.0, 84.0, 218.0, 310.0, 40.0, 228.0],
  [218.0, 0.0, 202.0, 101.0, 61.0, 277.0, 148.0, 273.0, 251.0, 96.0, 127.0, 208.0, 81.0, 24.0, 171.0, 53.0, 36.0, 114.0, 139.0, 143.0, 200.0, 100.0, 155.0, 174.0, 46.0, 77.0, 188.0, 189.0, 38.0, 38.0, 149.0, 39.0, 105.0, 178.0, 57.0],
  [56.0, 202.0, 0.0, 296.0, 256.0, 85.0, 54.0, 103.0, 84.0, 277.0, 93.0, 86.0, 281.0, 179.0, 51.0, 256.0, 175.0, 303.0, 64.0, 64.0, 46.0, 301.0, 64.0, 93.0, 165.0, 279.0, 54.0, 14.0, 239.0, 238.0, 53.0, 193.0, 281.0, 53.0, 198.0],
  [318.0, 101.0, 296.0, 0.0, 41.0, 375.0, 242.0, 373.0, 351.0, 35.0, 228.0, 309.0, 28.0, 121.0, 270.0, 59.0, 137.0, 18.0, 234.0, 241.0, 299.0, 25.0, 254.0, 275.0, 147.0, 57.0, 288.0, 283.0, 81.0, 63.0, 243.0, 104.0, 41.0, 278.0, 103.0],
  [277.0, 61.0, 256.0, 41.0, 0.0, 334.0, 202.0, 332.0, 310.0, 40.0, 187.0, 269.0, 30.0, 80.0, 229.0, 33.0, 97.0, 52.0, 193.0, 200.0, 258.0, 48.0, 213.0, 235.0, 107.0, 49.0, 247.0, 242.0, 49.0, 24.0, 203.0, 64.0, 49.0, 237.0, 67.0],
  [63.0, 277.0, 85.0, 375.0, 334.0, 0.0, 134.0, 41.0, 44.0, 358.0, 154.0, 92.0, 358.0, 255.0, 107.0, 330.0, 246.0, 383.0, 141.0, 134.0, 78.0, 377.0, 123.0, 123.0, 235.0, 352.0, 92.0, 95.0, 311.0, 314.0, 133.0, 273.0, 363.0, 100.0, 280.0],
  [85.0, 148.0, 54.0, 242.0, 202.0, 134.0, 0.0, 141.0, 119.0, 224.0, 53.0, 96.0, 227.0, 124.0, 42.0, 201.0, 122.0, 250.0, 11.0, 23.0, 66.0, 247.0, 38.0, 82.0, 112.0, 225.0, 61.0, 41.0, 185.0, 183.0, 1.0, 139.0, 229.0, 52.0, 146.0],
  [57.0, 273.0, 103.0, 373.0, 332.0, 41.0, 141.0, 0.0, 22.0, 360.0, 146.0, 70.0, 354.0, 252.0, 104.0, 324.0, 239.0, 383.0, 145.0, 134.0, 76.0, 373.0, 120.0, 105.0, 228.0, 345.0, 85.0, 109.0, 304.0, 311.0, 140.0, 275.0, 366.0, 96.0, 285.0],
  [34.0, 251.0, 84.0, 351.0, 310.0, 44.0, 119.0, 22.0, 0.0, 338.0, 124.0, 51.0, 332.0, 230.0, 82.0, 303.0, 218.0, 361.0, 123.0, 112.0, 54.0, 351.0, 97.0, 85.0, 207.0, 323.0, 63.0, 89.0, 282.0, 289.0, 118.0, 252.0, 344.0, 74.0, 262.0],
  [304.0, 96.0, 277.0, 35.0, 40.0, 358.0, 224.0, 360.0, 338.0, 0.0, 217.0, 299.0, 51.0, 111.0, 256.0, 71.0, 132.0, 29.0, 217.0, 226.0, 284.0, 58.0, 240.0, 266.0, 141.0, 80.0, 275.0, 264.0, 89.0, 63.0, 225.0, 85.0, 9.0, 264.0, 79.0],
  [93.0, 127.0, 93.0, 228.0, 187.0, 154.0, 53.0, 146.0, 124.0, 217.0, 0.0, 82.0, 208.0, 107.0, 48.0, 178.0, 93.0, 239.0, 42.0, 31.0, 75.0, 227.0, 31.0, 51.0, 82.0, 199.0, 62.0, 80.0, 158.0, 165.0, 53.0, 133.0, 224.0, 53.0, 146.0],
  [37.0, 208.0, 86.0, 309.0, 269.0, 92.0, 96.0, 70.0, 51.0, 299.0, 82.0, 0.0, 289.0, 189.0, 54.0, 258.0, 173.0, 320.0, 95.0, 80.0, 41.0, 307.0, 63.0, 36.0, 162.0, 277.0, 36.0, 83.0, 237.0, 246.0, 95.0, 215.0, 306.0, 45.0, 227.0],
  [300.0, 81.0, 281.0, 28.0, 30.0, 358.0, 227.0, 354.0, 332.0, 51.0, 208.0, 289.0, 0.0, 103.0, 252.0, 32.0, 115.0, 46.0, 218.0, 224.0, 281.0, 20.0, 236.0, 254.0, 126.0, 30.0, 269.0, 268.0, 55.0, 44.0, 228.0, 93.0, 60.0, 260.0, 97.0],
  [197.0, 24.0, 179.0, 121.0, 80.0, 255.0, 124.0, 252.0, 230.0, 111.0, 107.0, 189.0, 103.0, 0.0, 149.0, 77.0, 27.0, 132.0, 115.0, 121.0, 178.0, 123.0, 133.0, 156.0, 33.0, 101.0, 167.0, 165.0, 62.0, 60.0, 125.0, 34.0, 118.0, 157.0, 52.0],
  [48.0, 171.0, 51.0, 270.0, 229.0, 107.0, 42.0, 104.0, 82.0, 256.0, 48.0, 54.0, 252.0, 149.0, 0.0, 224.0, 139.0, 279.0, 43.0, 30.0, 29.0, 271.0, 17.0, 45.0, 128.0, 245.0, 20.0, 40.0, 204.0, 208.0, 42.0, 170.0, 262.0, 9.0, 180.0],
  [271.0, 53.0, 256.0, 59.0, 33.0, 330.0, 201.0, 324.0, 303.0, 71.0, 178.0, 258.0, 32.0, 77.0, 224.0, 0.0, 85.0, 75.0, 192.0, 196.0, 252.0, 49.0, 207.0, 223.0, 96.0, 25.0, 240.0, 242.0, 22.0, 24.0, 202.0, 76.0, 81.0, 231.0, 86.0],
  [186.0, 36.0, 175.0, 137.0, 97.0, 246.0, 122.0, 239.0, 218.0, 132.0, 93.0, 173.0, 115.0, 27.0, 139.0, 85.0, 0.0, 150.0, 111.0, 113.0, 168.0, 134.0, 123.0, 139.0, 11.0, 106.0, 156.0, 161.0, 65.0, 74.0, 123.0, 61.0, 140.0, 146.0, 80.0],
  [327.0, 114.0, 303.0, 18.0, 52.0, 383.0, 250.0, 383.0, 361.0, 29.0, 239.0, 320.0, 46.0, 132.0, 279.0, 75.0, 150.0, 0.0, 242.0, 250.0, 308.0, 42.0, 264.0, 287.0, 160.0, 75.0, 298.0, 290.0, 97.0, 76.0, 251.0, 110.0, 30.0, 288.0, 106.0],
