n = 25;
D = [
  [0.0, 240.0, 80.0, 160.0, 251.0, 136.0, 126.0, 237.0, 46.0, 38.0, 252.0, 267.0, 291.0, 126.0, 49.0, 124.0, 300.0, 302.0, 89.0, 7.0, 165.0, 218.0, 101.0, 23.0, 282.0],
  [240.0, 0.0, 305.0, 83.0, 28.0, 119.0, 116.0, 29.0, 212.0, 240.0, 30.0, 44.0, 59.0, 115.0, 239.0, 115.0, 61.0, 64.0, 301.0, 237.0, 78.0, 34.0, 147.0, 238.0, 50.0],
  [80.0, 305.0, 0.0, 230.0, 311.0, 190.0, 189.0, 307.0, 93.0, 65.0, 312.0, 337.0, 360.0, 197.0, 66.0, 193.0, 363.0, 369.0, 20.0, 79.0, 235.0, 288.0, 158.0, 70.0, 351.0],
  [160.0, 83.0, 230.0, 0.0, 101.0, 69.0, 49.0, 78.0, 138.0, 166.0, 103.0, 107.0, 132.0, 34.0, 167.0, 38.0, 144.0, 144.0, 230.0, 158.0, 5.0, 59.0, 80.0, 161.0, 123.0],
  [251.0, 28.0, 311.0, 101.0, 0.0, 122.0, 125.0, 57.0, 219.0, 247.0, 2.0, 64.0, 70.0, 130.0, 245.0, 128.0, 53.0, 66.0, 306.0, 248.0, 96.0, 61.0, 154.0, 247.0, 63.0],
  [136.0, 119.0, 190.0, 69.0, 122.0, 0.0, 27.0, 129.0, 99.0, 127.0, 122.0, 157.0, 177.0, 55.0, 124.0, 47.0, 174.0, 182.0, 184.0, 132.0, 71.0, 111.0, 36.0, 128.0, 168.0],
  [126.0, 116.0, 189.0, 49.0, 125.0, 27.0, 0.0, 119.0, 96.0, 124.0, 125.0, 149.0, 171.0, 28.0, 124.0, 19.0, 175.0, 180.0, 186.0, 123.0, 52.0, 101.0, 33.0, 123.0, 162.0],
  [237.0, 29.0, 307.0, 78.0, 57.0, 129.0, 119.0, 0.0, 214.0, 242.0, 59.0, 30.0, 54.0, 111.0, 243.0, 114.0, 74.0, 68.0, 305.0, 235.0, 72.0, 19.0, 152.0, 238.0, 46.0],
  [46.0, 212.0, 93.0, 138.0, 219.0, 99.0, 96.0, 214.0, 0.0, 28.0, 220.0, 244.0, 267.0, 105.0, 29.0, 101.0, 270.0, 276.0, 91.0, 39.0, 143.0, 195.0, 65.0, 30.0, 258.0],
  [38.0, 240.0, 65.0, 166.0, 247.0, 127.0, 124.0, 242.0, 28.0, 0.0, 248.0, 272.0, 295.0, 132.0, 11.0, 128.0, 299.0, 304.0, 65.0, 31.0, 170.0, 223.0, 94.0, 15.0, 286.0],
  [252.0, 30.0, 312.0, 103.0, 2.0, 122.0, 125.0, 59.0, 220.0, 248.0, 0.0, 66.0, 71.0, 131.0, 246.0, 129.0, 53.0, 67.0, 306.0, 248.0, 98.0, 63.0, 154.0, 247.0, 64.0],
  [267.0, 44.0, 337.0, 107.0, 64.0, 157.0, 149.0, 30.0, 244.0, 272.0, 66.0, 0.0, 26.0, 141.0, 273.0, 144.0, 57.0, 44.0, 335.0, 265.0, 102.0, 49.0, 181.0, 268.0, 18.0],
  [291.0, 59.0, 360.0, 132.0, 70.0, 177.0, 171.0, 54.0, 267.0, 295.0, 71.0, 26.0, 0.0, 165.0, 295.0, 168.0, 40.0, 21.0, 357.0, 289.0, 126.0, 73.0, 203.0, 292.0, 9.0],
  [126.0, 115.0, 197.0, 34.0, 130.0, 55.0, 28.0, 111.0, 105.0, 132.0, 131.0, 141.0, 165.0, 0.0, 134.0, 9.0, 175.0, 177.0, 196.0, 124.0, 39.0, 92.0, 51.0, 127.0, 157.0],
  [49.0, 239.0, 66.0, 167.0, 245.0, 124.0, 124.0, 243.0, 29.0, 11.0, 246.0, 273.0, 295.0, 134.0, 0.0, 129.0, 297.0, 303.0, 63.0, 42.0, 172.0, 224.0, 92.0, 25.0, 286.0],
  [124.0, 115.0, 193.0, 38.0, 128.0, 47.0, 19.0, 114.0, 101.0, 128.0, 129.0, 144.0, 168.0, 9.0, 129.0, 0.0, 176.0, 178.0, 192.0, 122.0, 42.0, 95.0, 44.0, 124.0, 159.0],
  [300.0, 61.0, 363.0, 144.0, 53.0, 174.0, 175.0, 74.0, 270.0, 299.0, 53.0, 57.0, 40.0, 175.0, 297.0, 176.0, 0.0, 22.0, 358.0, 297.0, 138.0, 89.0, 205.0, 297.0, 41.0],
  [302.0, 64.0, 369.0, 144.0, 66.0, 182.0, 180.0, 68.0, 276.0, 304.0, 67.0, 44.0, 21.0, 177.0, 303.0, 178.0, 22.0, 0.0, 365.0, 300.0, 138.0, 86.0, 211.0, 302.0, 25.0],
  [89.0, 301.0, 20.0, 230.0, 306.0, 184.0, 186.0, 305.0, 91.0, 65.0, 306.0, 335.0, 357.0, 196.0, 63.0, 192.0, 358.0, 365.0, 0.0, 85.0, 234.0, 286.0, 154.0, 74.0, 348.0],
  [7.0, 237.0, 79.0, 158.0, 248.0, 132.0, 123.0, 235.0, 39.0, 31.0, 248.0, 265.0, 289.0, 124.0, 42.0, 122.0, 297.0, 300.0, 85.0, 0.0, 163.0, 216.0, 96.0, 16.0, 280.0],
  [165.0, 78.0, 235.0, 5.0, 96.0, 71.0, 52.0, 72.0, 143.0, 170.0, 98.0, 102.0, 126.0, 39.0, 172.0, 42.0, 138.0, 138.0, 234.0, 163.0, 0.0, 53.0, 84.0, 166.0, 118.0],
  [218.0, 34.0, 288.0, 59.0, 61.0, 111.0, 101.0, 19.0, 195.0, 223.0, 63.0, 49.0, 73.0, 92.0, 224.0, 95.0, 89.0, 86.0, 286.0, 216.0, 53.0, 0.0, 133.0, 219.0, 64.0],
  [101.0, 147.0, 158.0, 80.0, 154.0, 36.0, 33.0, 152.0, 65.0, 94.0, 154.0, 181.0, 203.0, 51.0, 92.0, 44.0, 205.0, 211.0, 154.0, 96.0, 84.0, 133.0, 0.0, 93.0, 194.0],
  [23.0, 238.0, 70.0, 161.0, 247.0, 128.0, 123.0, 238.0, 30.0, 15.0, 247.0, 268.0, 292.0, 127.0, 25.0, 124.0, 297.0, 302.0, 74.0, 16.0, 166.0, 219.0, 93.0, 0.0, 283.0],
  [282.0, 50.0, 351.0, 123.0, 63.0, 168.0, 162.0, 46.0, 258.0, 286.0, 64.0, 18.0, 9.0, 157.0, 286.0, 159.0, 41.0, 25.0, 348.0, 280.0, 118.0, 64.0, 194.0, 283.0, 0.0],
];
