0,68,271,142,213,315,167,185,292,327,91,320,210,327,99,48,345,293,228,40
68,0,247,130,174,281,126,165,259,289,23,294,170,293,68,64,313,260,183,29
271,247,0,130,84,57,126,87,40,81,235,48,91,65,313,302,78,40,96,258
142,130,130,0,91,178,67,43,155,194,127,178,92,189,199,177,206,156,114,134
213,174,84,91,0,107,48,61,86,115,159,125,7,119,237,235,139,87,25,191
315,281,57,178,107,0,155,135,23,27,266,39,112,12,344,341,33,22,105,297
167,126,126,67,48,155,0,64,133,163,112,170,44,167,189,187,187,134,61,144
185,165,87,43,61,135,64,0,112,152,157,135,65,146,233,217,163,113,86,174
292,259,40,155,86,23,133,112,0,43,245,45,91,35,322,318,54,1,86,274
327,289,81,194,115,27,163,152,43,0,272,63,119,27,349,350,41,42,107,307
91,23,235,127,159,266,112,157,245,272,0,281,154,278,78,86,298,246,166,52
320,294,48,178,125,39,170,135,45,63,281,0,131,37,359,350,37,45,129,306
210,170,91,92,7,112,44,65,91,119,154,131,0,124,231,231,145,92,22,188
327,293,65,189,119,12,167,146,35,27,278,37,124,0,356,353,21,34,116,309
99,68,313,199,237,344,189,233,322,349,78,359,231,356,0,56,376,323,242,72
48,64,302,177,235,341,187,217,318,350,86,350,231,353,56,0,372,319,246,44
345,313,78,206,139,33,187,163,54,41,298,37,145,21,376,372,0,53,137,328
293,260,40,156,87,22,134,113,1,42,246,45,92,34,323,319,53,0,87,275
228,183,96,114,25,105,61,86,86,107,166,129,22,116,242,246,137,87,0,203
40,29,258,134,191,297,144,174,274,307,52,306,188,309,72,44,328,275,203,0
