0,240,80,160,251,136,126,237,46,38,252,267,291,126,49,124,300,302,89,7,165,218,101,23,282
240,0,305,83,28,119,116,29,212,240,30,44,59,115,239,115,61,64,301,237,78,34,147,238,50
80,305,0,230,311,190,189,307,93,65,312,337,360,197,66,193,363,369,20,79,235,288,158,70,351
160,83,230,0,101,69,49,78,138,166,103,107,132,34,167,38,144,144,230,158,5,59,80,161,123
251,28,311,101,0,122,125,57,219,247,2,64,70,130,245,128,53,66,306,248,96,61,154,247,63
136,119,190,69,122,0,27,129,99,127,122,157,177,55,124,47,174,182,184,132,71,111,36,128,168
126,116,189,49,125,27,0,119,96,124,125,149,171,28,124,19,175,180,186,123,52,101,33,123,162
237,29,307,78,57,129,119,0,214,242,59,30,54,111,243,114,74,68,305,235,72,19,152,238,46
46,212,93,138,219,99,96,214,0,28,220,244,267,105,29,101,270,276,91,39,143,195,65,30,258
38,240,65,166,247,127,124,242,28,0,248,272,295,132,11,128,299,304,65,31,170,223,94,15,286
252,30,312,103,2,122,125,59,220,248,0,66,71,131,246,129,53,67,306,248,98,63,154,247,64
267,44,337,107,64,157,149,30,244,272,66,0,26,141,273,144,57,44,335,265,102,49,181,268,18
291,59,360,132,70,177,171,54,267,295,71,26,0,165,295,168,40,21,357,289,126,73,203,292,9
126,115,197,34,130,55,28,111,105,132,131,141,165,0,134,9,175,177,196,124,39,92,51,127,157
49,239,66,167,245,124,124,243,29,11,246,273,295,134,0,129,297,303,63,42,172,224,92,25,286
124,115,193,38,128,47,19,114,101,128,129,144,168,9,129,0,176,178,192,122,42,95,44,124,159
300,61,363,144,53,174,175,74,270,299,53,57,40,175,297,176,0,22,358,297,138,89,205,297,41
302,64,369,144,66,182,180,68,276,304,67,44,21,177,303,178,22,0,365,300,138,86,211,302,25
89,301,20,230,306,184,186,305,91,65,306,335,357,196,63,192,358,365,0,85,234,286,154,74,348
7,237,79,158,248,132,123,235,39,31,248,265,289,124,42,122,297,300,85,0,163,216,96,16,280
165,78,235,5,96,71,52,72,143,170,98,102,126,39,172,42,138,138,234,163,0,53,84,166,118
218,34,288,59,61,111,101,19,195,223,63,49,73,92,224,95,89,86,286,216,53,0,133,219,64
101,147,158,80,154,36,33,152,65,94,154,181,203,51,92,44,205,211,154,96,84,133,0,93,194
23,238,70,161,247,128,123,238,30,15,247,268,292,127,25,124,297,302,74,16,166,219,93,0,283
282,50,351,123,63,168,162,46,258,286,64,18,9,157,286,159,41,25,348,280,118,64,194,283,0
